Date;iShares Euro Inflation Linked Government Bond
2005-11;10000
2005-12;10150.03703
2006-01;10046.85605
2006-02;10055.30565
2006-03;9829.463582
2006-04;9738.109167
2006-05;9786.106642
2006-06;9810.111506
2006-07;9924.101776
2006-08;10064.98167
2006-09;10059.47255
2006-10;10094.52714
2006-11;10159.77482
2006-12;9971.26011
2007-01;9889.227535
2007-02;9984.401451
2007-03;9899.709754
2007-04;9898.011816
2007-05;9794.802065
2007-06;9720.480698
2007-07;9886.789595
2007-08;9951.837364
2007-09;9975.030474
2007-10;10105.36704
2007-11;10209.07327
2007-12;10152.9462
2008-01;10436.05907
2008-02;10539.8184
2008-03;10458.81438
2008-04;10412.05349
2008-05;10421.67071
2008-06;10420.1433
2008-07;10491.36659
2008-08;10578.95978
2008-09;10486.03936
2008-10;9900.168349
2008-11;10043.56883
2008-12;10534.12493
2009-01;10481.83026
2009-02;10343.40773
2009-03;10604.37961
2009-04;10789.83846
2009-05;10875.65094
2009-06;10940.9018
2009-07;11097.15911
2009-08;11240.02008
2009-09;11367.24011
2009-10;11264.86776
2009-11;11395.86055
2009-12;11379.45918
2010-01;11272.47598
2010-02;11311.80725
2010-03;11567.27906
2010-04;11610.2611
2010-05;11685.044
2010-06;11550.84663
2010-07;11669.77146
2010-08;11940.92323
2010-09;11802.66797
2010-10;11825.59307
2010-11;11402.81251
2010-12;11480.73064
2011-01;11520.11402
2011-02;11587.84088
2011-03;11613.96349
2011-04;11722.3877
2011-05;11855.97407
2011-06;11828.64765
2011-07;11682.92753
2011-08;11651.11793
2011-09;11607.91872
2011-10;11316.93731
2011-11;10762.36392
2011-12;11362.36072
2012-01;11626.84395
2012-02;12103.99428
2012-03;12065.10779
2012-04;11958.84167
2012-05;11984.42953
2012-06;11910.3488
2012-07;12321.89428
2012-08;12365.13714
2012-09;12400.19445
2012-10;12330.66898
2012-11;12483.8094
2012-12;12596.79569
2013-01;12411.62576
2013-02;12396.86655
2013-03;12470.44783
2013-04;12651.89626
2013-05;12484.74323
2013-06;12091.35762
2013-07;12246.55004
2013-08;12080.86805
2013-09;12149.9225
2013-10;12270.20793
2013-11;12205.74703
2013-12;12094.60927
2014-01;12224.44952
2014-02;12220.00489
2014-03;12269.93961
2014-04;12384.00605
2014-05;12525.11501
2014-06;12619.04071
2014-07;12712.29852
2014-08;12863.28255
2014-09;12782.18756
2014-10;12752.52021
2014-11;12793.75005
2014-12;12720.97929
2015-01;13026.97814
2015-02;13139.92836
2015-03;13294.74632
2015-04;13241.55893
2015-05;12956.10366
2015-06;12712.80553
2015-07;12921.18103
2015-08;12624.45384
2015-09;12699.80352
2015-10;12983.48187
2015-11;13126.75947
2015-12;12813.58108
2016-01;12899.82323
2016-02;12787.45417
2016-03;12960.60539
2016-04;12941.19366
2016-05;13061.3208
2016-06;13228.15606
2016-07;13370.43799
2016-08;13347.89513
2016-09;13414.75917
2016-10;13172.55109
2016-11;13024.33623
2016-12;13286.77956
2017-01;13059.91416
2017-02;13122.1834
2017-03;12926.33744
2017-04;13072.63982
2017-05;13103.86284
2017-06;13070.42193
2017-07;13170.50761
2017-08;13272.86639
2017-09;13227.57927
2017-10;13420.05568
2017-11;13544.87245
2017-12;13460.33778
2018-01;13386.65055
2018-02;13431.55705
2018-03;13601.18339
2018-04;13610.83259
2018-05;13366.74791
2018-06;13536.17781
2018-07;13480.01165
2018-08;13350.55029
2018-09;13340.14881
2018-10;13252.48603
2018-11;13231.31695
2018-12;13252.08233
2019-01;13363.96376
2019-02;13255.52845
2019-03;13423.67473
2019-04;13489.88099
2019-05;13481.38362
2019-06;13790.52753
2019-07;14184.50221
2019-08;14386.61345
2019-09;14315.24274
2019-10;14247.05487
2019-11;14147.34015
2019-12;14108.88912
2020-01;14395.49332
2020-02;14250.65562
2020-03;13358.7973
2020-04;13491.6877
2020-05;13582.75511
2020-06;13877.08092
2020-07;14136.76888
2020-08;14082.68023
2020-09;14101.92851
2020-10;14247.09283
2020-11;14455.84644
2020-12;14537.08115
2021-01;14583.74994
2021-02;14403.12012
2021-03;14721.15608
2021-04;14625.88621
2021-05;14734.14861
2021-06;14771.63249
2021-07;15184.34633
2021-08;15139.88944
2021-09;15194.7352
2021-10;15189.94211
2021-11;15425.35273
2021-12;15446.40718
2022-01;15388.47867
2022-02;15359.10401
2022-03;15687.44582
2022-04;15555.07579
2022-05;14959.75653
2022-06;14503.57232
2022-07;15289.88825
2022-08;14628.83444
2022-09;13762.66122
2022-10;14201.82613
2022-11;14680.49523
2022-12;13942.08319
2023-01;14182.20956
2023-02;14168.28972
2023-03;14386.25182
2023-04;14396.09367
2023-05;14509.86401
2023-06;14455.39591
2023-07;14544.67658
2023-08;14507.19809
2023-09;14017.03995
2023-10;14031.01285
2023-11;14373.23917
2023-12;14755.87399
2024-01;14622.28516
2024-02;14538.493
2024-03;14688.33574
2024-04;14591.18497
2024-05;14550.61215
2024-06;14427.1443
